ID,All_fragments,All_fragments_h,Counts
BIOFACQUIM_All_frag_547,*Oc1cc(C)ccc1C1(C(C)=O)CO1,CC(=O)C1(c2ccc(C)cc2O)CO1,1
BIOFACQUIM_All_frag_548,*c1cc(C)ccc1C1(C(C)=O)CO1,CC(=O)C1(c2ccc(C)cc2)CO1,1
BIOFACQUIM_All_frag_549,*C(=O)c1c(O)cccc1CCCCCCCCCCCCCCC/C=C\CC,CC/C=C\CCCCCCCCCCCCCCCc1cccc(O)c1C=O,1
BIOFACQUIM_All_frag_550,*C(=O)c1c(O)cccc1CCCCCCC/C=C\CCCCCC,CCCCCC/C=C\CCCCCCCc1cccc(O)c1C=O,1
BIOFACQUIM_All_frag_551,*CCCCCCC,CCCCCCC,1
BIOFACQUIM_All_frag_552,*CCCCCCCCc1cccc(O)c1C(*)=O,CCCCCCCCc1cccc(O)c1C=O,1
BIOFACQUIM_All_frag_553,*CCCCCCCCc1cccc(O)c1C(=O)O,CCCCCCCCc1cccc(O)c1C(=O)O,1
BIOFACQUIM_All_frag_554,*C(=O)c1c(O)cccc1CCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCc1cccc(O)c1C=O,1
BIOFACQUIM_All_frag_555,*C(=O)c1c(O)cccc1CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCc1cccc(O)c1C=O,1
BIOFACQUIM_All_frag_556,*C(=O)C(C)=CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C,CC(C=O)=CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C,1
BIOFACQUIM_All_frag_557,*CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C,CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C,1
BIOFACQUIM_All_frag_558,*C(=O)C(C)=CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)C3CC[C@@]12C,CC(C=O)=CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)C3CC[C@@]12C,1
BIOFACQUIM_All_frag_559,*CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)C3CC[C@@]12C,CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)C3CC[C@@]12C,1
BIOFACQUIM_All_frag_560,*C(=O)[C@]12CCC(C)(C)CC1C1=CCC3[C@@]4(C)CC[C@@H](O)C(C)(C)C4CC[C@@]3(C)[C@]1(C)CC2,CC1(C)CC[C@]2(C=O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@@H](O)C(C)(C)C5CC[C@]43C)C2C1,1
BIOFACQUIM_All_frag_561,*C(=O)/C=C/c1ccc(OC)c(O)c1,COc1ccc(/C=C/C=O)cc1O,1
BIOFACQUIM_All_frag_562,*Cc1ccc(OC)c(O)c1,COc1ccc(C)cc1O,1
BIOFACQUIM_All_frag_563,*[C@]12C[C@@]34SS[C@@](CO)(C(=O)N3[C@H]1Nc1ccccc12)N(C)C4=O,CN1C(=O)[C@@]23C[C@H]4c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3,1
BIOFACQUIM_All_frag_564,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,1
BIOFACQUIM_All_frag_565,*CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,1
BIOFACQUIM_All_frag_566,*C1C(=O)C=C2CC[C@@H](O)[C@H](C)[C@@]2(C)[C@H]1O,C[C@H]1[C@H](O)CCC2=CC(=O)C[C@H](O)[C@@]21C,1
BIOFACQUIM_All_frag_567,*[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OC[C@H]1OC[C@H](O)[C@@H]1O,1
BIOFACQUIM_All_frag_568,*c1cc(O)c2c(c1O)CC(C)OC2=O,CC1Cc2c(O)ccc(O)c2C(=O)O1,1
