ID,isomeric_smiles,canonical_smiles,Database,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
nubbe_code_115,C[C@]19C(C(C)([C@H](CC9)O[C@@H]6O[C@@H]([C@H]([C@@H]([C@H]6O[C@@H]7O[C@@H]([C@H]([C@@H]([C@H]7O[C@@H]8O[C@H]([C@@H]([C@H]([C@H]8O)O)O)C)O)O)CO)O)O)CO)C)CC[C@@]2(C1CC=C4[C@@](CC[C@](C4[C@](O)([C@@H](CC5)C)C)5[C@](O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)=O)2C)C,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3[C@H](O[C@H]4CC[C@@]5(C)C(CC[C@]6(C)C5CC=C5C7[C@](C(=O)O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)(CC[C@@H](C)[C@@]7(C)O)CC[C@]56C)C4(C)C)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,NuBBE,54,23,0,0.7012987012987013,0.2987012987012987,0.0,0.9444444444444444,0.5555555555555556,1104.5716390760003,77,9,9,0,4,4,0,0,0
nubbe_code_116,O=C(C2=CO[C@H]([C@@]([C@]([C@@H](C[C@](O)3C)O)2[H])3[H])O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OC,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H]1[C@H](O)C[C@]2(C)O,NuBBE,17,11,0,0.6071428571428571,0.39285714285714285,0.0,0.8235294117647058,0.5882352941176471,406.14751165199993,28,3,3,0,2,2,0,0,0
nubbe_code_117,O=C(C2=CO[C@H]([C@@]([C@](CC=C3C(O)=O)2[H])3[H])O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O,O=C(O)C1=CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,NuBBE,16,11,0,0.5925925925925926,0.4074074074074074,0.0,0.625,0.5,388.10056145999994,27,3,3,0,2,2,0,0,0
nubbe_code_118,COC1=CC(O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO[C@@H]2OC[C@](CO)([C@H]2O)O)=CC(OC)=C1OC,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1OC,NuBBE,20,13,0,0.6060606060606061,0.3939393939393939,0.0,0.7,0.4,478.1686410199999,33,3,2,1,2,2,1,0,0
nubbe_code_119,OC2=C1C(C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC(C4=CC(O)=C(OC)C(O)=C4)=O)[C@H]3O)=C(C5=CC=C(O)C=C5)OC1=CC(O)=C2)=O,COc1c(O)cc(C(=O)O[C@@H]2[C@@H](O)[C@H](C)O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@@H]2O)cc1O,NuBBE,29,14,0,0.6744186046511628,0.32558139534883723,0.0,0.2413793103448276,0.1724137931034483,598.132255512,43,5,1,4,2,1,4,0,0
nubbe_code_120,OC3=CC=C(C=C3)C2=C(O)C(C1=C(O)C=C(O)C=C1O2)=O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,NuBBE,15,6,0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,286.04773804,21,3,0,3,1,0,3,0,0
nubbe_code_121,OC3=CC=C(C=C3)C2=C(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C(C1=C(O)C=C(O)C=C1O2)=O,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,NuBBE,21,10,0,0.6774193548387096,0.3225806451612903,0.0,0.2857142857142857,0.23809523809523808,432.1056468399999,31,4,1,3,2,1,3,0,0
nubbe_code_122,O=C2C1=C(O)C=C(O)C=C1OC(C3=CC=C(O)C(O)=C3)=C2O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,NuBBE,15,7,0,0.6818181818181818,0.3181818181818182,0.0,0.0,0.0,302.04265266,22,3,0,3,1,0,3,0,0
nubbe_code_123,O=C2C1=C(O)C=C(O)C=C1OC(C4=CC=C(O)C(O)=C4)=C2O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,NuBBE,21,12,0,0.6363636363636364,0.36363636363636365,0.0,0.2857142857142857,0.23809523809523808,464.09547607999986,33,4,1,3,2,1,3,0,0
nubbe_code_124,OC1=CC=C(C(OC3=C2C(O)=C(O[C@H](O[C@@H]([C@H]([C@@H]5O)O)CO[C@H]4[C@@H]([C@@H]([C@@H](O)[C@H](C)O4)O)O)[C@@H]5O)C(OC)=C3)=CC2=O)C=C1,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,NuBBE,28,15,0,0.6511627906976745,0.3488372093023256,0.0,0.4642857142857143,0.35714285714285715,608.1741203239999,43,5,2,3,3,2,3,0,0
