ID,All_fragments,All_fragments_h,Counts
NPDBEJECOL_All_frag_97,*C(=O)CCC(NC(=O)c1ccc(NCc2cnc3[nH]c(=N)[nH]c(=O)c3n2)cc1)C(=O)O,N=c1[nH]c(=O)c2nc(CNc3ccc(C(=O)NC(CCC=O)C(=O)O)cc3)cnc2[nH]1,1
NPDBEJECOL_All_frag_98,*C(=O)c1ccc(*)cc1,O=Cc1ccccc1,1
NPDBEJECOL_All_frag_99,*C(=O)c1ccc(NCc2cnc3[nH]c(=N)[nH]c(=O)c3n2)cc1,N=c1[nH]c(=O)c2nc(CNc3ccc(C=O)cc3)cnc2[nH]1,1
NPDBEJECOL_All_frag_100,*Cc1cnc2[nH]c(=N)[nH]c(=O)c2n1,Cc1cnc2[nH]c(=N)[nH]c(=O)c2n1,1
NPDBEJECOL_All_frag_101,*NC(CCC(*)=O)C(*)=O,NC(C=O)CCC=O,1
NPDBEJECOL_All_frag_102,*NC(CCC(*)=O)C(=O)O,NC(CCC=O)C(=O)O,1
NPDBEJECOL_All_frag_103,*NC(CCC(=O)O)C(*)=O,NC(C=O)CCC(=O)O,1
NPDBEJECOL_All_frag_104,*NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,1
NPDBEJECOL_All_frag_105,*c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,O=C(O)CCC(NC(=O)c1ccccc1)C(=O)O,1
NPDBEJECOL_All_frag_106,*[C@@H]1O[C@H]([C@H](O)CO)[C@H](O)[C@H]1O,OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,1
NPDBEJECOL_All_frag_107,*c1oc2cc(O)cc(O)c2c(=O)c1O[C@@H]1O[C@H]([C@H](O)CO)[C@H](O)[C@H]1O,O=c1c(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)coc2cc(O)cc(O)c12,1
NPDBEJECOL_All_frag_108,*[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,OC[C@H]1OC[C@H](O)[C@@H](O)[C@H]1O,1
NPDBEJECOL_All_frag_109,*C(=O)C(CCC(=O)O)NC(=O)c1ccc(NCc2cnc3[nH]c(=N)[nH]c(=O)c3n2)cc1,N=c1[nH]c(=O)c2nc(CNc3ccc(C(=O)NC(C=O)CCC(=O)O)cc3)cnc2[nH]1,1
NPDBEJECOL_All_frag_110,*C(=O)C(CCC(=O)O)NC(=O)c1ccc(*)cc1,O=CC(CCC(=O)O)NC(=O)c1ccccc1,1
NPDBEJECOL_All_frag_111,*CCC/C=C\CC,CC/C=C\CCC,1
NPDBEJECOL_All_frag_112,*CCC(=C)C,C=C(C)CC,1
NPDBEJECOL_All_frag_113,*CC/C=C(/C)CCC=C(C)C,CC/C=C(/C)CCC=C(C)C,1
NPDBEJECOL_All_frag_114,*CCCC1(C)CCc2cc(O)cc(C)c2O1,CCCC1(C)CCc2cc(O)cc(C)c2O1,1
NPDBEJECOL_All_frag_115,*CCC[C@@H](C)[C@@]12CCC(=C)[C@@H]1C2,C=C1CC[C@@]2([C@H](C)CCC)C[C@@H]12,1
NPDBEJECOL_All_frag_116,*CCC(C)C,CCC(C)C,1
NPDBEJECOL_All_frag_117,*OCCC(C)C,CC(C)CCO,1
NPDBEJECOL_All_frag_118,*C1CCC(C)CC1=O,CC1CCCC(=O)C1,1
NPDBEJECOL_All_frag_119,*OCCC(=C)C,C=C(C)CCO,1
NPDBEJECOL_All_frag_120,*CCC/C(C)=C/CCC(C)=O,CCC/C(C)=C/CCC(C)=O,1
NPDBEJECOL_All_frag_121,*OCCC,CCCO,1
NPDBEJECOL_All_frag_122,*C(=O)CCCCCC,CCCCCCC=O,1
NPDBEJECOL_All_frag_123,*CCCC=C,C=CCCC,1
NPDBEJECOL_All_frag_124,*OCCCC=C,C=CCCCO,1
NPDBEJECOL_All_frag_125,*C1CCC(C(C)(C)C)CC1,CC(C)(C)C1CCCCC1,1
NPDBEJECOL_All_frag_126,*OC1CCC(C(C)(C)C)CC1,CC(C)(C)C1CCC(O)CC1,1
NPDBEJECOL_All_frag_127,*CCC/C(C)=C/CCC(C)(O)C=C,C=CC(C)(O)CC/C=C(\C)CCC,1
NPDBEJECOL_All_frag_128,*C(C)CCC=C(C)CCC=C(C)C,CCCCC=C(C)CCC=C(C)C,1
NPDBEJECOL_All_frag_129,*CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,1
NPDBEJECOL_All_frag_130,*CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,CCCC(C)=CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,1
NPDBEJECOL_All_frag_131,*C1C(OC2CCC3(C)C(=CCC4C3CCC3(C)C4(O)CC4OC5(OCC(C)CC5O)C(C)C43O)C2)OC(CO)C(O)C1O,CC1COC2(OC3CC4(O)C5CC=C6CC(OC7CC(O)C(O)C(CO)O7)CCC6(C)C5CCC4(C)C3(O)C2C)C(O)C1,1
NPDBEJECOL_All_frag_132,*C1CCC2(C)C(=CCC3C2CCC2(C)C3(O)CC3OC4(OCC(C)CC4O)C(C)C32O)C1,CC1COC2(OC3CC4(O)C5CC=C6CCCCC6(C)C5CCC4(C)C3(O)C2C)C(O)C1,1
NPDBEJECOL_All_frag_133,*C1C(OC2CCC3(C)C(=CCC4C3CC(O)C3(C)C4CC4OC5(OCC(C)CC5O)C(C)C43O)C2)OC(CO)C(O)C1O,CC1COC2(OC3CC4C5CC=C6CC(OC7CC(O)C(O)C(CO)O7)CCC6(C)C5CC(O)C4(C)C3(O)C2C)C(O)C1,1
NPDBEJECOL_All_frag_134,*C1CCC2(C)C(=CCC3C2CC(O)C2(C)C3CC3OC4(OCC(C)CC4O)C(C)C32O)C1,CC1COC2(OC3CC4C5CC=C6CCCCC6(C)C5CC(O)C4(C)C3(O)C2C)C(O)C1,1
NPDBEJECOL_All_frag_135,*C(C)C/C=C/C=C,C=C/C=C/CCC,1
NPDBEJECOL_All_frag_136,*CC/C=C\CCCCC,CC/C=C\CCCCC,1
NPDBEJECOL_All_frag_137,*C(=O)/C=C/c1ccccc1,O=C/C=C/c1ccccc1,1
NPDBEJECOL_All_frag_138,*C(=O)CCCCCCC/C=C\C/C=C\CCCCC,CCCCC/C=C\C/C=C\CCCCCCCC=O,1
NPDBEJECOL_All_frag_139,*CC(=O)OCC,CCOC(C)=O,1
NPDBEJECOL_All_frag_140,*Cc1ccccc1,Cc1ccccc1,1
NPDBEJECOL_All_frag_141,*C(=O)CCCCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCCCC=O,1
NPDBEJECOL_All_frag_142,*C(=O)CCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC=O,1
NPDBEJECOL_All_frag_143,*C(=O)CCCCCCC/C=C\CCCCCC,CCCCCC/C=C\CCCCCCCC=O,1
NPDBEJECOL_All_frag_144,*C(=O)CCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCC=O,1
NPDBEJECOL_All_frag_145,*C(=O)C=C(C)CCC=C(C)C,CC(C)=CCCC(C)=CC=O,1
NPDBEJECOL_All_frag_146,*C(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,CC/C=C\C/C=C\C/C=C\CCCCCCCC=O,1
NPDBEJECOL_All_frag_147,*CC/C=C\C/C=C\CC,CC/C=C\C/C=C\CC,1
NPDBEJECOL_All_frag_148,*C1CCC2(C)C(=CCC3C2CCC2(C)C3CC3OC4(OCC(C)C(O)C4O)C(C)C32)C1,CC1COC2(OC3CC4C5CC=C6CCCCC6(C)C5CCC4(C)C3C2C)C(O)C1O,1
NPDBEJECOL_All_frag_149,*CCc1c(OC)c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c12,CCc1c(OC)c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c12,1
NPDBEJECOL_All_frag_150,*OC1CC2C3OC3C(C1)N2C,CN1C2CC(O)CC1C1OC12,1
NPDBEJECOL_All_frag_151,*c1ccc(O)cc1,Oc1ccccc1,1
NPDBEJECOL_All_frag_152,*c1oc2cc(O)cc(O)c2c(=O)c1O,O=c1c(O)coc2cc(O)cc(O)c12,1
NPDBEJECOL_All_frag_153,*C(=O)c1cc(O)c(O)c(O)c1,O=Cc1cc(O)c(O)c(O)c1,1
NPDBEJECOL_All_frag_154,*CCc1c(O)cc2oc3cc(O)c(OC)c(CC*)c3c(=O)c2c1O,CCc1c(O)cc2oc3cc(O)c(OC)c(CC)c3c(=O)c2c1O,1
NPDBEJECOL_All_frag_155,*CCc1c(O)cc2oc3cc(O)c(OC)c(CC=C(C)C)c3c(=O)c2c1O,CCc1c(O)cc2oc3cc(O)c(OC)c(CC=C(C)C)c3c(=O)c2c1O,1
NPDBEJECOL_All_frag_156,*CCc1c(O)c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c12,CCc1c(O)c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c12,1
NPDBEJECOL_All_frag_157,*C1C(OC2CCC3(C)C(=CCC4C3CCC3(C)C4CC4OC5(OCC(C)C(O)C5O)C(C)C43)C2)OC(CO)C(O)C1O,CC1COC2(OC3CC4C5CC=C6CC(OC7CC(O)C(O)C(CO)O7)CCC6(C)C5CCC4(C)C3C2C)C(O)C1O,1
NPDBEJECOL_All_frag_158,*CCc1c(O)cc2oc3cc(O)c(O)c(CC*)c3c(=O)c2c1O,CCc1c(O)cc2oc3cc(O)c(O)c(CC)c3c(=O)c2c1O,1
NPDBEJECOL_All_frag_159,*CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,1
NPDBEJECOL_All_frag_160,*O[C@@H]1[C@@H](O)C=C2CCN3Cc4cc5c(cc4[C@H]1[C@@H]23)OCO5,O[C@H]1[C@H]2c3cc4c(cc3CN3CCC(=C[C@@H]1O)[C@H]23)OCO4,1
NPDBEJECOL_All_frag_161,*[C@H]1[C@H]2c3cc4c(cc3CN3CCC(=C[C@@H]1O)[C@H]23)OCO4,O[C@H]1C=C2CCN3Cc4cc5c(cc4[C@H](C1)[C@@H]23)OCO5,1
NPDBEJECOL_All_frag_162,*c1cc2c(cc1CO)OCO2,OCc1ccc2c(c1)OCO2,1
NPDBEJECOL_All_frag_163,*c1ccccc1NC,CNc1ccccc1,1
NPDBEJECOL_All_frag_164,*CC(=O)OC,COC(C)=O,1
NPDBEJECOL_All_frag_165,*CCCC(C)=CC(*)=O,CCCC(C)=CC=O,1
