ID,All_fragments,All_fragments_h,Counts
NuBBE_All_frag_95,*O[C@H]1O[C@@H](*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](O*)[C@@H]3O*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_96,*O[C@H]1O[C@@H](*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](O*)[C@@H]3*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_97,*O[C@@H]1[C@@H](C)[C@@](C)(C/C=C(/C)C=C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](*)[C@]32[C@H]1*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23COCC2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_98,*O[C@@H]1[C@@H](C)[C@@](C)(C/C=C(/C)C=C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](*)[C@]32[C@H]1O*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23COCC2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_99,*O[C@@H]1[C@@H](C)[C@@](C)(C/C=C(/C)C=C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](O*)[C@]32[C@H]1OC(C)=O,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_100,*O[C@H]1O[C@@H](*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](*)[C@@H]3O*,C=C/C(C)=C\C[C@]1(C)[C@H](C)C[C@H](O)[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_101,*O[C@@H]1[C@@H](C)[C@@](C)(C/C=C(/C)C=C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](*)[C@]32[C@H]1OC(C)=O,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@@]23COCC2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_102,*O[C@H]1O[C@@H](*)[C@]23C1=C[C@H](OC)C[C@H]2[C@](C)(C/C=C(/C)C=C)[C@H](C)[C@@H](*)[C@@H]3*,C=C/C(C)=C\C[C@]1(C)[C@H](C)CC[C@@]23CO[C@H](O)C2=C[C@H](OC)C[C@H]31,4
NuBBE_All_frag_103,*O[C@@H]1[C@@H](C)[C@@](C)(C/C=C(/C)C=C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](O*)[C@]32[C@H]1O*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_104,*c1oc2cc(OC)c(O)c(O)c2c(=O)c1OC,COc1cc2occ(OC)c(=O)c2c(O)c1O,4
NuBBE_All_frag_105,*c1ccc(OC)c(OC)c1OC,COc1cccc(OC)c1OC,4
NuBBE_All_frag_106,*O[C@@H]1[C@@H](C)[C@@](C)(C/C=C(/C)C=C)[C@@H]2C[C@@H](OC)C=C3[C@@H](*)O[C@@H](O*)[C@]32[C@H]1*,C=C/C(C)=C\C[C@]1(C)[C@H](C)[C@@H](O)C[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
NuBBE_All_frag_107,*c1cc(=O)c2c(O)c(*)c(OC)cc2o1,COc1cc(O)c2c(=O)ccoc2c1,4
NuBBE_All_frag_108,*CC[C@]1(C)[C@H](C)[C@@H](O*)[C@H](O*)[C@@]23C(=C[C@H](OC)C[C@@H]12)[C@@H](*)O[C@H]3*,CC[C@]1(C)[C@H](C)[C@@H](O)[C@H](O)[C@@]23COCC2=C[C@H](OC)C[C@@H]13,4
NuBBE_All_frag_109,*O[C@@H]1O[C@H](*)C2=C[C@H](OC)C[C@@H]3[C@@]21[C@@H](OC(C)=O)[C@H](*)[C@@H](C)[C@@]3(C)C/C=C(/C)C=C,C=C/C(C)=C\C[C@]1(C)[C@H](C)C[C@H](OC(C)=O)[C@@]23C(=C[C@H](OC)C[C@@H]12)CO[C@H]3O,4
