ID,All_fragments,All_fragments_h,Counts
PeruNPD_All_frag_254,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_255,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O)COC(C)=O)C*,CC/C(C)=C/CCC(CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_256,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(*)=O)CO*)COC(C)=O)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CC/C=C(\CO)CC=CC(C)C=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_257,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)CO*)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC)COC(C)=O)CO,1
PeruNPD_All_frag_258,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)CO*)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_259,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO*)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_260,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)CO*)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CO)CC/C=C(/CC)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_261,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)COC(C)=O)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CC/C=C(/CC)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_262,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO*)CO*)CO*,CC/C(=C/CCC(CO)CCCCC(CO)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO,1
PeruNPD_All_frag_263,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O)CO*)CO*)C*,CC/C(C)=C/CCC(CO)CCCCC(CO)CC/C=C(/CC=CC(C)C(=O)O)COC(C)=O,1
PeruNPD_All_frag_264,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)COC(C)=O)CO*)COC(C)=O,CC/C(=C/CCC(CO)CCCCC(CC/C=C(/CC)COC(C)=O)COC(C)=O)COC(C)=O,1
PeruNPD_All_frag_265,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)COC(C)=O)COC(C)=O)CO*,CC/C(=C/CCC(CCCCC(CC/C=C(/CC)COC(C)=O)COC(C)=O)COC(C)=O)CO,1
PeruNPD_All_frag_266,*CC/C(=C/CCC(CCCCC(CC/C=C(/CC*)COC(C)=O)COC(C)=O)COC(C)=O)COC(C)=O,CC/C(=C/CCC(CCCCC(CC/C=C(/CC)COC(C)=O)COC(C)=O)COC(C)=O)COC(C)=O,1
